Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup
1183.000032,,,s,5.649369748,0.401295146,0.401295146,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
1222.000042,,,s,6.194410751,0.386766576,0.386766576,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
1260.999965,,,s,5.754399373,0.408755779,0.408755779,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
1357.000042,,,s,5.05824662,0.359305534,0.359305534,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
1426.000032,,,s,4.742419853,0.37726153,0.37726153,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
1495.000022,,,s,4.446312675,0.353706077,0.353706077,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
1593.999994,,,s,3.467368505,0.275830649,0.275830649,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
1723.000032,,,s,3.3419504,0.17967274,0.17967274,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
3232.999958,,,s,1.674942876,0.332177915,0.332177915,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
24499.20004,,,s,0.103752842,0.011707884,0.011707884,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
25188.59998,,,s,0.099083194,0.006186556,0.006186556,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
26588.39999,,,s,0.100925289,0.010560341,0.010560341,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
25878.59997,,,s,0.119124201,0.004308839,0.004308839,mJy,Spectral Flux,3.93E+14,,,Hz,i,i_offset
27314.40001,,,s,0.105681751,0.004756462,0.004756462,mJy,Spectral Flux,3.93E+14,,,Hz,i,i_offset
28683.59999,,,s,0.098174794,0.005278156,0.005278156,mJy,Spectral Flux,3.93E+14,,,Hz,i,i_offset
33694.20003,,,s,0.089536477,0.004029805,0.004029805,mJy,Spectral Flux,3.93E+14,,,Hz,i,i_offset
34874.40001,,,s,0.081658237,0.020844737,0.020844737,mJy,Spectral Flux,3.93E+14,,,Hz,i,i_offset
70487.99997,,,s,0.034040819,0.00123129,0.00123129,mJy,Spectral Flux,3.93E+14,,,Hz,i,i_offset
1300.999968,,,s,6.025595861,0.479338731,0.479338731,mJy,Spectral Flux,3.43E+14,,,Hz,I,I_offset
24742.8,,,s,0.124738351,0.009922989,0.009922989,mJy,Spectral Flux,3.43E+14,,,Hz,I,I_offset
