Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,SlopGroup
170.5655,,,s,4.55E-08,5.11E-09,5.11E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
171.4598,,,s,5.13E-08,5.70E-09,5.70E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
172.2561,,,s,3.64E-08,4.70E-09,4.70E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
173.113,,,s,4.14E-08,4.49E-09,4.49E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
174.1793,,,s,4.26E-08,4.80E-09,4.80E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
175.0332,,,s,3.31E-08,4.60E-09,4.60E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
175.8522,,,s,3.76E-08,4.73E-09,4.73E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
176.842,,,s,4.10E-08,4.48E-09,4.48E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
177.763,,,s,3.68E-08,5.01E-09,5.01E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
178.606,,,s,4.32E-08,4.79E-09,4.79E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
179.4916,,,s,3.78E-08,5.12E-09,5.12E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
180.2697,,,s,3.78E-08,4.94E-09,4.94E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
181.048,,,s,3.69E-08,5.03E-09,5.03E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
182.013,,,s,3.97E-08,4.51E-09,4.51E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
183.041,,,s,3.35E-08,4.55E-09,4.55E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
183.9158,,,s,4.67E-08,5.14E-09,5.14E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
184.868,,,s,4.27E-08,4.74E-09,4.74E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
185.792,,,s,3.56E-08,4.37E-09,4.37E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
186.7093,,,s,3.63E-08,4.78E-09,4.78E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
187.6067,,,s,2.80E-08,3.94E-09,3.94E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
188.4596,,,s,3.53E-08,4.83E-09,4.83E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
