Time,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,HostGroup,SlopGroup,,,,,,,,,,,,,,,
292.477,s,1.66E-09,3.17E-10,3.17E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
294.208,s,3.38E-09,6.34E-10,6.34E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
295.733,s,1.86E-09,3.57E-10,3.57E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
297.843,s,1.86E-09,3.70E-10,3.70E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
299.724,s,2.15E-09,4.08E-10,4.08E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
302.139,s,1.32E-09,2.60E-10,2.60E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
304.392,s,2.10E-09,3.96E-10,3.96E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
306.606,s,1.50E-09,2.88E-10,2.88E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
308.847,s,1.88E-09,3.55E-10,3.55E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
310.984,s,1.33E-09,2.52E-10,2.52E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
314.012,s,1.25E-09,2.34E-10,2.34E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
316.756,s,1.64E-09,3.11E-10,3.11E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
319.086,s,1.51E-09,2.85E-10,2.85E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
321.196,s,1.99E-09,3.81E-10,3.81E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
